question,answer,CAP_TOTALE
Did you know Ecooking before this trial?,"Yes",10
Did you know Ecooking before this trial?,"No",10
Please select one product you would like to receive,"Anti redness cream",10
Please select one product you would like to receive,"Night cream",10
